Country,Active military,Reserve military,Paramilitary,Total,"Per 1,000 capita
(total)","Per 1,000 capita
(active)"
Myanmar,"406,000",0,"107,000","513,000",9.2,7.3
Namibia,"9,900",0,"6,000","15,900",6.3,3.9
Nepal,"96,600",0,"15,000","111,600",3.8,3.3
Netherlands,"35,400","4,500","5,900","45,800",2.7,2.1
New Zealand,"9,000","2,300",0,"11,300",2.5,2
Nicaragua,"12,000",0,0,"12,000",2,2
Niger,"5,300",0,"5,400","10,700",0.5,0.3
Nigeria,"143,000",0,"80,000","223,000",1.1,0.7
North Korea,"1,280,000","600,000","5,889,000","7,769,000",306.1,50.4
North Macedonia,"8,000","4,850","7,600","20,450",9.7,3.8
Norway,"23,250","40,000",0,"63,250",11.8,4.3
Oman,"42,600",0,"4,400","47,000",13.5,12.2
Pakistan,"654,000","550,000","291,000","1,495,000",7.2,3.1
Palestine,0,0,0,0,0,0
Panama,0,0,"26,000","26,000",6.8,0
Papua New Guinea,"3,600",0,0,"3,600",0.5,0.5
Paraguay,"13,950","164,500","14,800","193,250",27.5,2
Peru,"81,000","188,000","77,000","346,000",11,2.6
Philippines,"143,100","131,000","62,300","336,400",3.2,1.4
Poland,"114,050",0,"75,400","189,450",4.9,3
Portugal,"27,250","211,700","24,700","263,650",25.5,2.6
Qatar,"16,500",0,"5,000","21,500",9.1,7
Republic of the Congo,"10,000",0,"2,000","12,000",2.4,2
Romania,"69,300","50,000","57,000","176,300",8.2,3.2
Russia,"1,154,000","2,000,000","554,000","3,708,000",26.1,8.1
Rwanda,"33,000",0,"2,000","35,000",2.9,2.7
Saudi Arabia,"227,000",0,"24,500","251,500",7.6,6.9
Senegal,"13,600",0,"5,000","18,600",1.2,0.9
Serbia,"28,150","50,150","3,700","82,000",11.6,4
Seychelles,420,0,0,420,4.4,4.4
Sierra Leone,"8,500",0,0,"8,500",1.3,1.3
Singapore,"51,000","252,500","7,400","310,900",51.9,8.5
Slovakia,"15,850",0,0,"15,850",2.9,2.9
Slovenia,"7,250","1,500","5,950","14,700",7,3.4
Somalia,"19,800",0,0,"19,800",1.8,1.8
South Africa,"65,350","15,050",0,"80,400",1.5,1.2
South Korea,"599,000","3,100,000","3,013,500","6,712,500",130.5,11.6
South Sudan,"185,000",0,0,"185,000",18.1,18.1
Spain,"120,350","15,150","75,800","211,300",4.4,2.5
Sri Lanka,"255,000","5,500","92,600","353,100",15.6,11.3
Sudan,"104,300",0,"105,000","209,300",4.9,2.4
Suriname,"1,840",0,0,"1,840",3.1,3.1
Sweden,"29,750",0,"21,200","50,950",5.1,3
Switzerland,"19,550","196,450",0,"216,000",26,2.4
Syria,"169,000",0,"100,000","269,000",13.8,8.7
Taiwan (Republic of China),"163,000","1,657,000","11,800","1,831,800",77.8,6.9
Tajikistan,"8,800",0,"7,500","16,300",1.9,1
Tanzania,"27,000","80,000","1,400","108,400",2,0.5
Thailand,"360,850","200,000","138,700","699,550",10.2,5.3
Togo,"8,550",0,750,"9,300",1.1,1
Trinidad and Tobago,"4,050",0,0,"4,050",3.3,3.3
Tunisia,"35,800",0,"12,000","47,800",4.2,3.1
Turkey,"425,000","200,000","156,800","781,800",9.6,5.2
Turkmenistan,"36,500",0,"5,000","41,500",7.7,6.7
Uganda,"45,000","10,000","1,400","56,400",1.4,1.1
Ukraine,"209,000","900,000","102,000","1,211,000",27.6,4.8
United Arab Emirates,"63,000",0,0,"63,000",6.5,6.5
United Kingdom,"196,453","78,600",0,"275,053",4.2,3
United States,"1,328,000","744,950",0,"2,072,950",6.3,4
Uruguay,"21,000",0,"1,400","22,400",6.6,6.2
Uzbekistan,"48,000",0,"20,000","68,000",2.3,1.6
Venezuela,"123,000","8,000","220,000","351,000",11.1,3.9
Vietnam,"482,000","5,000,000","40,000","5,522,000",56.9,5
Yemen,"40,000",0,0,"40,000",1.4,1.4
Zambia,"15,100","3,000","1,400","19,500",1.2,0.9
Zimbabwe,"29,000",0,"21,800","50,800",3.6,2.1
